job_id,task_data,status,result,error,start_time,end_time,retry_count,duration_seconds,metadata
job_000001,"{'id': 0, 'value': 0}",completed,"{'input': {'id': 0, 'value': 0}, 'processed_at': '2026-06-20T14:20:39.222320', 'result': 0}",,2026-06-20T14:20:39.122214,2026-06-20T14:20:39.222529,0,0.100315,{}
job_000002,"{'id': 1, 'value': 10}",completed,"{'input': {'id': 1, 'value': 10}, 'processed_at': '2026-06-20T14:20:39.222594', 'result': 20}",,2026-06-20T14:20:39.122444,2026-06-20T14:20:39.222695,0,0.100251,{}
job_000003,"{'id': 2, 'value': 20}",completed,"{'input': {'id': 2, 'value': 20}, 'processed_at': '2026-06-20T14:20:39.222769', 'result': 40}",,2026-06-20T14:20:39.122673,2026-06-20T14:20:39.222853,0,0.10018,{}
job_000004,"{'id': 3, 'value': 30}",completed,"{'input': {'id': 3, 'value': 30}, 'processed_at': '2026-06-20T14:20:39.222973', 'result': 60}",,2026-06-20T14:20:39.122885,2026-06-20T14:20:39.223053,0,0.100168,{}
job_000005,"{'id': 4, 'value': 40}",completed,"{'input': {'id': 4, 'value': 40}, 'processed_at': '2026-06-20T14:20:39.322654', 'result': 80}",,2026-06-20T14:20:39.222559,2026-06-20T14:20:39.322871,0,0.100312,{}
job_000007,"{'id': 6, 'value': 60}",completed,"{'input': {'id': 6, 'value': 60}, 'processed_at': '2026-06-20T14:20:39.322945', 'result': 120}",,2026-06-20T14:20:39.222869,2026-06-20T14:20:39.323046,0,0.100177,{}
job_000006,"{'id': 5, 'value': 50}",completed,"{'input': {'id': 5, 'value': 50}, 'processed_at': '2026-06-20T14:20:39.323087', 'result': 100}",,2026-06-20T14:20:39.222711,2026-06-20T14:20:39.323301,0,0.10059,{}
job_000008,"{'id': 7, 'value': 70}",completed,"{'input': {'id': 7, 'value': 70}, 'processed_at': '2026-06-20T14:20:39.323205', 'result': 140}",,2026-06-20T14:20:39.223068,2026-06-20T14:20:39.323404,0,0.100336,{}
job_000009,"{'id': 8, 'value': 80}",completed,"{'input': {'id': 8, 'value': 80}, 'processed_at': '2026-06-20T14:20:39.422997', 'result': 160}",,2026-06-20T14:20:39.322896,2026-06-20T14:20:39.423224,0,0.100328,{}
job_000010,"{'id': 9, 'value': 90}",completed,"{'input': {'id': 9, 'value': 90}, 'processed_at': '2026-06-20T14:20:39.423268', 'result': 180}",,2026-06-20T14:20:39.323063,2026-06-20T14:20:39.423363,0,0.1003,{}
job_000011,"{'id': 10, 'value': 100}",completed,"{'input': {'id': 10, 'value': 100}, 'processed_at': '2026-06-20T14:20:39.423426', 'result': 200}",,2026-06-20T14:20:39.323318,2026-06-20T14:20:39.423620,0,0.100302,{}
job_000012,"{'id': 11, 'value': 110}",completed,"{'input': {'id': 11, 'value': 110}, 'processed_at': '2026-06-20T14:20:39.423521', 'result': 220}",,2026-06-20T14:20:39.323420,2026-06-20T14:20:39.423703,0,0.100283,{}
job_000013,"{'id': 12, 'value': 120}",completed,"{'input': {'id': 12, 'value': 120}, 'processed_at': '2026-06-20T14:20:39.523345', 'result': 240}",,2026-06-20T14:20:39.423249,2026-06-20T14:20:39.523538,0,0.100289,{}
job_000014,"{'id': 13, 'value': 130}",completed,"{'input': {'id': 13, 'value': 130}, 'processed_at': '2026-06-20T14:20:39.523604', 'result': 260}",,2026-06-20T14:20:39.423377,2026-06-20T14:20:39.523732,0,0.100355,{}
job_000015,"{'id': 14, 'value': 140}",completed,"{'input': {'id': 14, 'value': 140}, 'processed_at': '2026-06-20T14:20:39.523791', 'result': 280}",,2026-06-20T14:20:39.423639,2026-06-20T14:20:39.523886,0,0.100247,{}
job_000016,"{'id': 15, 'value': 150}",completed,"{'input': {'id': 15, 'value': 150}, 'processed_at': '2026-06-20T14:20:39.523925', 'result': 300}",,2026-06-20T14:20:39.423718,2026-06-20T14:20:39.524003,0,0.100285,{}
job_000017,"{'id': 16, 'value': 160}",completed,"{'input': {'id': 16, 'value': 160}, 'processed_at': '2026-06-20T14:20:39.623669', 'result': 320}",,2026-06-20T14:20:39.523562,2026-06-20T14:20:39.623936,0,0.100374,{}
job_000018,"{'id': 17, 'value': 170}",completed,"{'input': {'id': 17, 'value': 170}, 'processed_at': '2026-06-20T14:20:39.623984', 'result': 340}",,2026-06-20T14:20:39.523749,2026-06-20T14:20:39.624098,0,0.100349,{}
job_000020,"{'id': 19, 'value': 190}",completed,"{'input': {'id': 19, 'value': 190}, 'processed_at': '2026-06-20T14:20:39.624130', 'result': 380}",,2026-06-20T14:20:39.524018,2026-06-20T14:20:39.624260,0,0.100242,{}
job_000019,"{'id': 18, 'value': 180}",completed,"{'input': {'id': 18, 'value': 180}, 'processed_at': '2026-06-20T14:20:39.624311', 'result': 360}",,2026-06-20T14:20:39.523902,2026-06-20T14:20:39.624390,0,0.100488,{}
